id,ime,vzdevek,id_kluba,id_države,država,ocena,pozicija,cena,spretnost,šibka_noga,hitrost,strel,podaje,dribling,obramba,fizika,višina,popularnost
198,Ömer Toprak,,22,48,Turkey,82,CB,1000,2,4,78,37,63,67,83,74,186,402
201,Lukasz Piszczek,,22,37,Poland,81,RB,800,2,4,80,68,74,73,81,79,184,455
211,Maximilian Philipp,,22,21,Germany,79,ST,700,4,4,81,80,71,82,43,65,183,422
212,Thomas Delaney,,22,13,Denmark,79,CM,700,3,4,75,73,75,74,78,83,182,458
214,Christian Pulisic,,22,95,United States,79,RM,700,4,4,91,69,71,84,36,58,177,409
217,Mahmoud Dahoud,,22,21,Germany,79,CM,550,4,4,71,68,76,81,63,67,178,426
220,Francisco Alcácer García,Paco Alcácer,22,45,Spain,79,ST,700,3,4,70,78,62,75,37,63,175,385
221,Abdou Diallo,,22,18,France,78,CB,700,3,3,73,37,68,72,78,77,186,405
223,Manuel Akanji,,22,47,Switzerland,78,CB,700,2,3,80,42,65,70,78,77,187,412
224,Raphaël Guerreiro,Guerreiro,22,38,Portugal,78,LB,700,4,3,75,74,82,84,71,59,170,445
227,Marcel Schmelzer,,22,21,Germany,77,LB,650,2,2,76,51,67,66,76,78,181,414
228,Marius Wolf,,22,21,Germany,77,RM,550,3,4,85,71,72,76,60,73,188,437
229,Sebastian Rode,,22,21,Germany,77,CDM,500,3,3,66,62,70,72,77,77,179,424
232,Jeremy Toljan,,22,21,Germany,75,RB,1700,3,4,91,42,65,71,67,69,182,405
233,Achraf Hakimi,,22,129,Morocco,75,RB,650,3,2,85,59,66,72,71,70,181,423
242,Paul Pogba,,11,18,France,88,CM,525000,5,4,75,79,86,85,69,87,191,481
244,Romelu Lukaku,,11,7,Belgium,87,ST,210000,3,4,84,84,76,75,35,87,190,441
245,Alexis Sánchez,,11,55,Chile,87,LW,38500,4,3,82,83,79,89,45,77,169,455
247,Nemanja Matic,,11,51,Serbia,86,CDM,18750,3,3,56,71,79,76,83,83,194,448
254,Anthony Martial,,11,18,France,83,LW,25000,4,3,89,81,73,86,42,72,184,443
256,Juan Manuel Mata García,Juan Mata,11,45,Spain,83,RM,1100,4,3,65,76,84,85,37,50,170,397
259,Antonio Valencia,,11,57,Ecuador,82,RB,31000,3,2,85,67,76,80,79,79,180,466
260,Jesse Lingard,,11,14,England,82,CAM,900,4,3,81,78,76,84,56,68,175,443
261,Frederico R. de Paula Santos,Fred,11,54,Brazil,82,CM,4000,4,4,79,74,77,82,75,71,169,458
262,Eric Bailly,,11,108,Côte d'Ivoire,82,CB,2800,2,3,74,42,59,66,82,82,187,405
263,Ander Herrera Agüera,Ander Herrera,11,45,Spain,82,CM,900,3,4,71,72,79,80,78,76,182,456
266,Chris Smalling,,11,14,England,81,CB,700,2,3,68,47,55,59,81,82,194,392
267,Marcus Rashford,,11,14,England,81,LW,4000,4,4,92,80,74,82,40,72,185,440
270,Ashley Young,,11,14,England,80,LB,700,4,3,75,68,79,78,74,70,175,444
272,Phil Jones,,11,14,England,80,CB,600,2,3,57,53,62,62,80,77,185,391
278,Victor Nilsson Lindelöf,,11,46,Sweden,79,CB,500,3,3,72,48,71,69,78,76,187,414
279,Marouane Fellaini,,11,7,Belgium,79,CM,650,3,3,45,72,71,72,75,86,194,421
280,Luke Shaw,,11,14,England,78,LB,700,3,2,83,52,71,77,76,72,181,431
281,Andreas Hugo Hoelgebaum Pereira,Andreas Pereira,11,54,Brazil,78,RM,1000,3,4,76,74,78,78,62,67,178,435
283,Matteo Darmian,,11,27,Italy,76,LB,600,3,5,73,58,68,75,77,69,182,420
285,José Diogo Dalot Teixeira,Diogo Dalot,11,38,Portugal,72,RB,3400,3,3,73,58,65,73,69,75,183,413
291,Kevin De Bruyne,,10,7,Belgium,91,CAM,418000,4,5,77,86,92,87,60,78,181,480
294,Sergio Agüero,,10,52,Argentina,89,ST,294000,4,4,84,89,76,89,28,73,173,439
295,David Josué Jimenez Silva,David Silva,10,45,Spain,89,CAM,52500,4,2,66,74,87,91,50,60,173,428
304,Fernando Luiz Rosa,Fernandinho,10,54,Brazil,86,CDM,28500,3,4,67,74,78,79,83,79,179,460
305,Leroy Sané,,10,21,Germany,86,LW,125000,4,3,95,81,78,86,38,70,183,448
306,Nicolás Otamendi,,10,52,Argentina,86,CB,20500,2,3,60,57,63,61,86,80,183,407
308,Raheem Sterling,,10,14,England,85,RW,26750,4,3,93,73,76,87,47,56,170,432
309,Vincent Kompany,,10,7,Belgium,85,CB,11500,2,3,56,54,65,66,85,81,190,407
310,Riyad Mahrez,,10,97,Algeria,85,RW,31250,5,4,85,79,81,90,37,59,179,431
314,Bernardo Mota Carvalho e Silva,Bernardo Silva,10,38,Portugal,84,RW,2900,4,3,78,72,83,89,46,58,173,426
315,Ilkay Gündogan,,10,21,Germany,84,CM,3000,4,4,68,74,83,84,69,70,180,448
317,Kyle Walker,,10,14,England,84,RB,97500,2,2,90,63,75,77,81,80,183,466
318,Aymeric Laporte,,10,18,France,83,CB,1100,2,3,65,50,67,62,85,76,189,405
320,Gabriel Fernando de Jesus,Gabriel Jesus,10,54,Brazil,83,ST,27500,4,3,86,80,72,86,39,73,175,436
321,John Stones,,10,14,England,82,CB,750,3,4,69,36,69,71,83,78,188,406
323,Benjamin Mendy,,10,18,France,81,LB,6400,3,3,81,51,76,78,77,78,185,441
325,Fabian Delph,,10,14,England,80,LB,700,3,3,73,70,76,80,77,74,174,450
328,Danilo Luiz da Silva,Danilo,10,54,Brazil,79,RB,800,3,4,75,70,73,74,77,77,184,446
331,Eliaquim Mangala,,10,18,France,77,CB,600,2,4,63,42,55,51,77,82,187,370
333,Phil Foden,,10,14,England,73,CAM,800,3,3,74,61,71,75,55,55,171,391
341,Lionel Messi,,241,52,Argentina,94,CF,902000,4,4,88,91,88,96,32,61,170,456
343,Luis Suárez,,241,60,Uruguay,91,ST,390000,3,4,80,90,79,87,52,85,182,473
351,Philippe Coutinho Correia,Coutinho,241,54,Brazil,88,LW,83500,5,4,81,81,86,91,45,64,172,448
353,Sergio Busquets Burgos,Sergio Busquets,241,45,Spain,88,CDM,50000,3,3,43,62,79,78,85,80,189,427
354,Ivan Rakitic,,241,10,Croatia,87,CM,28500,3,3,62,84,87,82,72,69,184,456
355,Gerard Piqué Bernabeu,Piqué,241,45,Spain,87,CB,36000,2,3,55,61,69,66,87,76,194,414
356,Jordi Alba Ramos,Jordi Alba,241,45,Spain,87,LB,87000,3,3,93,69,79,83,79,72,170,475
357,Samuel Umtiti,,241,18,France,87,CB,138000,2,3,72,64,71,72,88,82,182,449
359,Arturo Vidal,,241,55,Chile,85,CDM,7900,3,4,57,80,79,78,84,83,180,461
361,Sergio Roberto Carnicer,Sergi Roberto,241,45,Spain,84,RB,5600,4,3,78,63,81,77,80,71,178,450
364,Malcom Filipe Silva de Oliveira,Malcom,241,54,Brazil,83,RW,900,4,4,84,79,81,85,27,64,172,420
367,Clément Lenglet,,241,18,France,82,CB,800,2,4,73,35,59,67,83,78,186,395
369,Rafael Alcântara,Rafinha,241,54,Brazil,82,CAM,750,4,4,70,76,79,84,69,62,174,440
370,Ousmane Dembélé,,241,18,France,82,RW,900,4,5,89,75,76,87,36,55,178,418
374,Nélson Cabral Semedo,Nélson Semedo,241,38,Portugal,80,RB,850,4,3,92,57,67,80,73,72,177,441
375,Denis Suárez Fernández,Denis Suárez,241,45,Spain,79,CM,700,3,3,77,72,80,82,59,59,176,429
378,Munir El Haddadi,Munir,241,45,Spain,77,ST,500,4,2,79,77,69,79,33,60,175,397
379,Thomas Vermaelen,,241,7,Belgium,77,CB,950,2,3,65,61,69,60,76,72,183,403
380,Sergi Samper Montañá,Sergi Samper,241,45,Spain,73,CDM,450,3,3,43,46,72,68,69,63,182,361
385,Eden Hazard,,5,7,Belgium,91,LW,374000,4,4,91,82,86,94,35,67,173,455
386,N'Golo Kanté,,5,18,France,89,CDM,416000,2,3,80,66,77,81,87,84,168,475
387,César Azpilicueta Tanco,Azpilicueta,5,45,Spain,86,CB,42500,2,3,76,55,78,74,87,77,178,447
388,Luiz Frello Filho Jorge,,5,27,Italy,84,CM,3200,4,3,72,64,84,82,69,71,180,442
389,Francesc Fàbregas i Soler,Cesc Fàbregas,5,45,Spain,84,CM,6500,3,3,55,74,88,80,60,58,180,415
390,Willian Borges da Silva,Willian,5,54,Brazil,84,RW,34500,4,4,88,77,80,86,49,62,175,442
391,Mateo Kovacic,,5,10,Croatia,83,CM,3900,4,4,79,69,82,86,69,72,178,457
392,Alvaro Borja Morata Martín,Morata,5,45,Spain,83,ST,2000,3,4,82,79,71,79,31,71,189,413
393,David Luiz Moreira Marinho,David Luiz,5,54,Brazil,83,CB,5700,3,3,61,65,73,71,82,77,189,429
395,Marcos Alonso Mendoza,Marcos Alonso,5,45,Spain,82,LB,4300,3,3,73,73,78,77,80,79,188,460
396,Pedro Rodríguez Ledesma,Pedro,5,45,Spain,82,RW,850,4,5,76,77,77,83,43,56,169,412
397,Andreas Christensen,,5,13,Denmark,82,CB,800,2,3,69,31,63,70,84,72,188,389
398,Olivier Giroud,,5,18,France,82,ST,850,3,3,47,82,71,74,42,79,192,395
399,Gary Cahill,,5,14,England,81,CB,2800,2,3,47,58,53,60,83,76,193,377
400,Antonio Rüdiger,,5,21,Germany,81,CB,1000,2,3,73,40,67,63,81,77,190,401
401,Danny Drinkwater,,5,14,England,79,CM,500,3,4,63,67,76,76,72,71,177,425
402,Ross Barkley,,5,14,England,79,CAM,900,4,5,70,72,76,81,54,73,189,426
403,Marco van Ginkel,,5,34,Holland,79,CM,500,3,4,66,77,77,76,70,73,186,439
404,Davide Zappacosta,,5,27,Italy,79,RB,600,3,3,77,66,72,75,76,74,182,440
405,Victor Moses,,5,133,Nigeria,78,RW,500,4,4,78,70,74,80,73,71,177,446
406,Ruben Loftus-Cheek,,5,14,England,77,CM,500,4,3,71,62,75,79,61,78,191,426
407,Emerson Palmieri dos Santos,Emerson,5,27,Italy,76,LWB,500,3,3,77,59,66,77,70,61,176,410
411,Lucas Domingues Piazon,Lucas Piazon,5,54,Brazil,72,RW,700,3,4,69,72,72,74,34,55,182,376
418,Robert Lewandowski,,21,37,Poland,90,ST,137000,4,4,78,89,75,85,41,82,184,450
421,Mats Hummels,,21,21,Germany,89,CB,55000,3,3,65,58,76,73,90,76,191,438
423,James Rodríguez,,21,56,Colombia,88,CAM,49000,4,3,72,86,88,86,50,67,181,449
427,Jérôme Boateng,,21,21,Germany,86,CB,85000,2,4,73,50,72,66,85,83,192,429
428,Thiago Alcântara,Thiago,21,45,Spain,86,CM,20000,5,3,73,74,84,89,67,63,174,450
430,Thomas Müller,,21,21,Germany,86,CF,21000,3,4,74,83,80,78,50,71,186,436
434,Joshua Kimmich,,21,21,Germany,85,RB,14000,3,4,73,68,83,82,77,73,176,456
435,Arjen Robben,,21,34,Holland,85,RM,9900,4,2,79,85,81,88,32,62,180,427
436,Franck Ribéry,,21,18,France,85,LM,9900,5,4,78,76,82,88,30,57,170,411
437,David Alaba,,21,4,Austria,85,LB,69500,3,4,82,73,80,80,81,75,180,471
441,Niklas Süle,,21,21,Germany,84,CB,3900,2,3,67,41,52,50,83,82,195,375
443,Javier Martínez Aginaga,Javi Martinez,21,45,Spain,84,CDM,3600,2,3,51,55,70,65,86,83,190,410
445,Kingsley Coman,,21,18,France,83,LM,1300,5,3,94,76,75,85,25,60,178,415
447,Leon Goretzka,,21,21,Germany,83,CM,4400,3,4,83,74,80,81,77,76,189,471
448,Corentin Tolisso,,21,18,France,83,CM,1100,3,3,70,77,79,78,76,81,181,461
449,Serge Gnabry,,21,21,Germany,82,LM,900,4,4,91,81,72,85,44,67,175,440
453,Sandro Wagner,,21,21,Germany,78,ST,400,3,4,59,79,53,64,37,82,194,374
455,Márcio Rafael Ferreira de Souza,Rafinha,21,54,Brazil,77,RB,1400,3,3,78,46,72,77,73,63,172,409
458,Renato Júnior Luz Sanches,Renato Sanches,21,38,Portugal,75,CM,400,3,4,77,72,69,77,70,81,176,446
461,Mohamed Salah,,9,111,Egypt,88,RW,299000,4,3,92,84,79,89,45,72,175,461
464,Roberto Firmino Barbosa de Oliveira,Roberto Firmino,9,54,Brazil,86,CF,81000,4,4,77,83,80,86,61,78,181,465
466,Sadio Mané,,9,136,Senegal,86,LW,98000,4,4,94,80,76,87,42,73,175,452
469,Virgil van Dijk,,9,34,Holland,85,CB,148000,2,3,71,60,67,70,85,84,193,437
470,Fábio Henrique Tavares,Fabinho,9,54,Brazil,85,CDM,84500,3,2,71,69,78,77,84,84,188,463
475,Naby Keïta,,9,118,Guinea,83,CM,1100,4,4,68,73,78,87,64,68,172,438
477,Jordan Henderson,,9,14,England,82,CDM,750,3,3,66,70,83,75,77,78,182,449
483,Georginio Wijnaldum,,9,34,Holland,82,CM,850,4,3,76,72,77,83,71,73,175,452
484,Joel Matip,,9,103,Cameroon,81,CB,600,2,2,63,46,68,66,82,77,195,402
485,Dejan Lovren,,9,10,Croatia,81,CB,650,2,4,55,40,59,63,81,79,188,377
487,Xherdan Shaqiri,,9,47,Switzerland,81,RW,900,5,4,80,77,80,85,46,70,169,438
488,Adam Lallana,,9,14,England,81,CM,700,4,5,69,73,80,82,64,71,178,439
489,Andrew Robertson,,9,42,Scotland,81,LB,950,3,2,84,59,72,77,77,73,178,442
492,James Milner,,9,14,England,81,CM,800,3,4,62,70,82,77,75,78,175,444
494,Daniel Sturridge,,9,14,England,80,ST,550,4,2,75,81,68,78,23,63,180,388
495,Alex Oxlade-Chamberlain,,9,14,England,80,CM,800,4,4,85,73,78,83,66,76,175,461
496,Nathaniel Clyne,,9,14,England,80,RB,650,3,2,78,61,70,77,79,71,175,436
499,Trent Alexander-Arnold,,9,14,England,78,RB,700,3,3,80,60,75,73,73,69,180,430
502,Divock Origi,,9,7,Belgium,77,ST,500,4,3,78,74,67,74,27,72,185,392
504,Alberto Moreno Pérez,Alberto Moreno,9,45,Spain,77,LB,700,3,3,86,65,68,77,70,72,171,438
505,Joe Gomez,,9,14,England,76,RB,650,3,3,77,30,58,67,76,75,188,383
506,Lazar Markovic,,9,51,Serbia,74,RM,900,4,3,84,66,70,80,41,49,175,390
512,Harry Kane,,18,14,England,89,ST,130000,3,4,70,90,79,81,47,83,188,450
514,Christian Eriksen,,18,13,Denmark,88,CAM,148000,4,5,74,82,89,86,53,64,181,448
517,Jan Vertonghen,,18,7,Belgium,87,CB,37500,3,3,63,63,73,72,88,79,189,438
522,Toby Alderweireld,,18,7,Belgium,85,CB,13000,2,3,62,57,72,66,88,78,186,423
524,Moussa Dembélé,,18,7,Belgium,84,CM,14000,4,2,72,70,77,87,78,82,185,466
525,Heung Min Son,,18,167,Korea Republic,84,LM,47000,4,5,86,85,76,85,42,68,183,442
526,Dele Alli,,18,14,England,84,CAM,13500,4,3,75,81,78,82,65,78,188,459
527,Davinson Sánchez,,18,56,Colombia,84,CB,42000,2,3,76,45,55,67,84,82,187,409
532,Kieran Trippier,,18,14,England,82,RB,1200,3,4,75,58,82,76,79,72,178,442
533,Lucas Rodrigues M. Silva,Lucas,18,54,Brazil,82,RM,1100,4,3,92,74,75,85,42,59,174,427
536,Serge Aurier,,18,108,Côte d'Ivoire,81,RB,750,3,3,78,62,74,77,78,79,176,448
539,Ben Davies,,18,50,Wales,81,LB,700,3,3,75,58,76,76,79,75,182,439
540,Victor Wanyama,,18,120,Kenya,80,CDM,700,2,3,58,65,69,73,80,88,184,433
541,Danny Rose,,18,14,England,80,LB,700,3,3,76,62,73,77,79,76,174,443
543,Erik Lamela,,18,52,Argentina,80,RM,600,4,2,75,77,80,82,47,68,184,429
549,Fernando Javier Llorente Torres,Llorente,18,45,Spain,77,ST,450,3,3,31,76,61,67,33,71,191,339
551,Vincent Janssen,,18,34,Holland,76,ST,450,3,4,62,77,57,70,32,73,183,371
552,Moussa Sissoko,,18,18,France,76,CM,700,3,2,74,72,74,74,64,84,187,442
553,Harry Winks,,18,14,England,75,CM,450,3,3,67,58,75,75,64,63,176,402
562,Pierre-Emerick Aubameyang,Aubameyang,1,115,Gabon,87,ST,295000,4,4,94,84,75,80,37,70,187,440
563,Mesut Özil,,1,21,Germany,86,CAM,21000,4,2,70,73,86,84,24,58,180,395
564,Henrikh Mkhitaryan,,1,3,Armenia,84,CAM,4000,4,5,82,78,79,85,52,69,177,445
565,Alexandre Lacazette,,1,18,France,84,ST,5000,4,4,81,82,72,84,40,72,175,431
566,Sokratis Papastathopoulos,Sokratis,1,22,Greece,84,CB,3800,2,2,69,51,50,61,84,82,186,397
568,Laurent Koscielny,,1,18,France,82,CB,1000,2,3,65,41,62,65,82,75,186,390
570,Aaron Ramsey,,1,50,Wales,82,CM,950,3,3,67,76,79,80,67,74,183,443
571,Shkodran Mustafi,,1,21,Germany,82,CB,1300,2,3,62,57,64,62,81,77,184,403
572,Granit Xhaka,,1,47,Switzerland,81,CM,800,3,2,48,65,79,71,69,76,185,408
573,Ignacio Monreal Eraso,Nacho Monreal,1,45,Spain,80,LB,800,3,3,69,58,71,75,80,70,179,423
575,Stephan Lichtsteiner,,1,47,Switzerland,80,RB,750,3,3,71,58,72,76,79,74,182,430
577,Mohamed Elneny,,1,111,Egypt,78,CDM,650,3,3,59,62,73,71,73,75,181,413
578,Lucas Torreira,,1,60,Uruguay,78,CM,800,4,3,77,62,77,80,73,73,168,442
579,Danny Welbeck,,1,14,England,77,LW,750,3,3,80,74,70,77,43,75,185,419
580,Alex Iwobi,,1,133,Nigeria,76,LM,800,3,3,77,62,70,80,28,64,180,381
581,Rob Holding,,1,14,England,74,CB,900,2,3,60,34,55,64,74,73,189,360
592,Luka Modric,,243,10,Croatia,91,CM,109000,4,4,76,76,90,91,70,67,172,470
594,Sergio Ramos García,Sergio Ramos,243,45,Spain,91,CB,306000,3,3,75,63,71,72,91,84,184,456
596,Toni Kroos,,243,21,Germany,90,CM,67000,3,5,67,82,89,82,74,69,183,463
598,Francisco Román Alarcón Suárez,Isco,243,45,Spain,89,CAM,53500,4,3,72,81,85,92,61,62,176,453
602,Gareth Bale,,243,50,Wales,88,RW,467000,4,3,95,88,84,85,58,76,185,486
603,Marcelo Vieira da Silva,Marcelo,243,54,Brazil,88,LB,173000,5,4,82,71,83,90,81,82,174,489
605,Carlos Henrique Venancio Casimiro,Casemiro,243,54,Brazil,88,CDM,55000,2,3,62,69,75,72,87,88,185,453
609,Raphaël Varane,,243,18,France,86,CB,235000,2,3,84,45,61,65,86,80,191,421
611,Marco Asensio Willemsen,Marco Asensio,243,45,Spain,85,LW,11250,4,3,81,84,83,85,43,60,182,436
614,Daniel Carvajal Ramos,Carvajal,243,45,Spain,84,RB,5400,3,3,82,45,73,79,82,78,173,439
615,Karim Benzema,,243,18,France,84,ST,3200,4,4,76,79,76,81,32,75,185,419
617,José Ignacio Fernández Iglesias,Nacho Fernández,243,45,Spain,83,CB,1500,2,4,74,37,66,65,81,79,180,402
618,Lucas Vázquez Iglesias,Lucas Vázquez,243,45,Spain,83,RW,950,4,4,81,75,82,82,46,67,173,433
623,Álvaro Odriozola Arzalluz,Odriozola,243,45,Spain,80,RB,700,3,3,81,53,71,73,79,68,176,425
626,Marcos Llorente Moreno,Marcos Llorente,243,45,Spain,79,CDM,600,3,3,54,48,73,70,76,71,184,392
630,Daniel Ceballos Fernández,Dani Ceballos,243,45,Spain,78,CM,500,4,3,64,61,76,80,68,64,179,413
631,Jesús Vallejo Lázaro,Vallejo,243,45,Spain,78,CB,600,2,3,71,41,56,63,79,70,184,380
633,Federico Valverde,,243,60,Uruguay,73,CM,1100,3,3,67,68,69,68,62,57,181,391
637,Gylfi Sigurðsson,,7,24,Iceland,82,CAM,750,3,4,59,80,84,79,56,70,186,428
638,Idrissa Gueye,,7,136,Senegal,82,CDM,750,3,3,72,59,70,77,84,79,174,441
640,Cenk Tosun,,7,48,Turkey,80,ST,1000,3,4,74,80,66,77,36,74,183,407
641,Séamus Coleman,,7,25,Republic of Ireland,80,RB,700,3,3,76,65,73,78,80,73,177,445
643,Theo Walcott,,7,14,England,79,RM,500,3,3,89,73,71,79,39,62,176,413
644,Leighton Baines,,7,14,England,79,LB,500,3,3,63,71,79,78,78,65,170,434
645,Michael Keane,,7,14,England,79,CB,650,2,3,64,49,63,67,79,77,191,399
646,Morgan Schneiderlin,,7,18,France,79,CDM,500,3,3,58,60,72,75,77,77,185,419
647,Lucas Digne,,7,18,France,78,LB,550,3,3,76,61,75,75,74,72,178,433
648,Phil Jagielka,,7,14,England,78,CB,600,2,3,46,46,58,56,79,71,180,356
649,James McCarthy,,7,25,Republic of Ireland,78,CDM,450,3,4,59,60,74,73,76,73,180,415
650,Yerry Mina,,7,56,Colombia,78,CB,700,2,2,54,54,56,58,78,83,195,383
651,Kurt Zouma,,7,18,France,78,CB,750,2,3,62,52,58,55,76,83,190,386
652,Richarlison de Andrade,Richarlison,7,54,Brazil,77,LM,550,4,5,83,71,68,79,37,77,181,415
654,Mason Holgate,,7,14,England,76,CB,550,3,3,70,42,63,65,76,73,184,389
655,Tom Davies,,7,14,England,75,CM,600,4,3,67,62,74,76,62,71,185,412
656,Oumar Niasse,,7,136,Senegal,75,ST,450,3,3,75,75,56,73,29,71,182,379
657,Dominic Calvert-Lewin,,7,14,England,74,ST,650,3,3,82,68,58,74,37,73,187,392
659,Ademola Lookman,,7,14,England,72,LM,600,3,4,81,69,61,78,28,58,174,375
664,Gonzalo Higuaín,,47,52,Argentina,88,ST,41500,3,4,73,87,70,83,31,74,186,418
666,Samuel Castillejo Azuaga,Samu Castillejo,47,45,Spain,83,RM,1000,4,2,86,75,81,83,43,52,182,420
667,Jesús Joaquín Fernández Sáez,Suso,47,45,Spain,82,RW,2000,4,3,80,75,82,86,33,54,176,410
669,Alessio Romagnoli,,47,27,Italy,82,CB,750,2,3,66,34,52,66,84,79,188,381
670,Giacomo Bonaventura,,47,27,Italy,82,CM,750,4,3,76,77,82,83,72,71,181,461
671,Lucas Biglia,,47,52,Argentina,82,CDM,750,3,4,65,63,81,81,77,71,178,438
673,Mateo Musacchio,,47,52,Argentina,80,CB,700,3,3,70,47,63,68,83,74,180,405
675,Ricardo Rodríguez,,47,47,Switzerland,80,LB,800,4,3,73,67,79,76,78,75,180,448
677,Diego Laxalt,,47,60,Uruguay,78,LM,700,4,3,88,63,74,78,62,71,178,436
678,Franck Yannick Kessié,,47,108,Côte d'Ivoire,78,CM,700,3,4,73,71,71,77,78,88,183,458
679,Riccardo Montolivo,,47,27,Italy,78,CDM,450,4,4,51,64,82,80,73,66,181,416
680,Cristian Zapata,,47,56,Colombia,78,CB,500,2,2,66,32,46,57,82,77,186,360
681,Ignazio Abate,,47,27,Italy,78,RB,650,4,2,81,52,72,77,76,72,180,430
682,Patrick Cutrone,,47,27,Italy,77,ST,450,4,3,76,74,56,74,29,71,183,380
683,Davide Calabria,,47,27,Italy,77,RB,650,3,3,79,43,68,73,76,71,176,410
684,Andrea Bertolacci,,47,27,Italy,77,CM,500,4,3,71,69,76,78,70,70,178,434
685,Fabio Borini,,47,27,Italy,76,LW,550,4,3,76,74,72,78,45,71,180,416
686,Alen Halilovic,,47,10,Croatia,76,RM,500,4,3,76,64,77,79,45,44,170,385
687,Andrea Conti,,47,27,Italy,75,RM,500,4,2,79,59,70,75,73,69,184,425
688,Ivan Strinic,,47,10,Croatia,74,LB,1200,3,4,71,56,67,71,74,74,186,413
689,Stefan Šimic,,47,12,Czech Republic,73,CB,650,2,3,50,27,48,56,75,73,189,329
690,José Mauri,,47,27,Italy,72,CM,500,3,4,70,53,72,78,64,53,169,390
692,Bruno Miguel Borges Fernandes,Bruno Fernandes,237,38,Portugal,83,CAM,950,4,3,78,80,84,83,62,72,179,459
693,Bas Dost,,237,34,Holland,83,ST,1300,2,3,52,83,57,66,45,83,196,386
695,Sebastián Coates,,237,60,Uruguay,82,CB,800,2,3,56,43,52,60,83,86,196,380
696,Jérémy Mathieu,,237,18,France,81,CB,700,2,2,71,64,72,63,84,82,189,436
697,Luís Carlos Almeida da Cunha,Nani,237,38,Portugal,80,LM,1300,5,5,77,76,78,85,35,62,177,413
698,Marcos Acuña,,237,52,Argentina,80,LM,750,5,3,77,74,79,84,66,81,172,461
699,Raphael Dias Belloli,Raphinha,237,54,Brazil,79,RM,700,4,3,87,75,72,81,43,73,176,431
700,Rodrigo Battaglia,,237,52,Argentina,79,CM,700,3,4,68,68,68,73,81,84,187,442
701,Marcelo dos Santos Ferreira,Marcelo,237,54,Brazil,78,CB,500,2,2,66,26,51,54,80,73,182,350
702,Jefferson Nascimento,Jefferson,237,54,Brazil,78,LB,950,2,2,75,68,77,74,74,78,176,446
703,Nemanja Gudelj,,237,51,Serbia,78,CDM,700,3,2,62,70,76,68,74,87,187,437
704,André Almeida Pinto,André Pinto,237,38,Portugal,77,CB,600,2,2,47,36,50,48,79,77,194,337
705,Fredy Montero,,237,56,Colombia,76,ST,1000,4,4,72,77,71,78,48,59,176,405
706,Radosav Petrovic,,237,51,Serbia,76,CDM,400,2,2,43,55,64,64,74,78,193,378
707,Stefan Ristovski,,237,19,FYR Macedonia,76,RB,700,3,3,87,60,68,74,72,74,180,435
